,brand,lang,type,count,year,month
0,GLOBEXCORPORATION,DK,article,2,2007,05
1,GLOBEXCORPORATION,DK,article,6,2007,06
2,GLOBEXCORPORATION,DK,video,1,2007,06
3,GLOBEXCORPORATION,DK,article,5,2007,07
4,GLOBEXCORPORATION,DK,article,6,2007,08
5,GLOBEXCORPORATION,DK,article,30,2007,09
6,GLOBEXCORPORATION,DK,page,5,2007,09
7,GLOBEXCORPORATION,DK,article,45,2007,10
8,GLOBEXCORPORATION,DK,article,16,2007,11
9,GLOBEXCORPORATION,DK,page,2,2007,11
10,GLOBEXCORPORATION,DK,video,1,2007,11
11,GLOBEXCORPORATION,DK,article,25,2007,12
12,GLOBEXCORPORATION,DK,page,3,2007,12
13,GLOBEXCORPORATION,DK,article,30,2008,01
14,GLOBEXCORPORATION,DK,page,10,2008,01
15,GLOBEXCORPORATION,DK,video,576,2008,01
16,GLOBEXCORPORATION,DK,article,26,2008,02
17,GLOBEXCORPORATION,DK,video,64,2008,02
18,GLOBEXCORPORATION,DK,article,33,2008,03
19,GLOBEXCORPORATION,DK,video,205,2008,03
20,GLOBEXCORPORATION,DK,article,182,2008,04
21,GLOBEXCORPORATION,DK,page,3,2008,04
22,GLOBEXCORPORATION,DK,video,2583,2008,04
23,GLOBEXCORPORATION,DK,article,598,2008,05
24,GLOBEXCORPORATION,DK,page,1,2008,05
25,GLOBEXCORPORATION,DK,video,365,2008,05
26,GLOBEXCORPORATION,DK,article,658,2008,06
27,GLOBEXCORPORATION,DK,video,456,2008,06
28,GLOBEXCORPORATION,DK,article,645,2008,07
29,GLOBEXCORPORATION,DK,video,462,2008,07
30,GLOBEXCORPORATION,DK,article,665,2008,08
31,GLOBEXCORPORATION,DK,page,1,2008,08
32,GLOBEXCORPORATION,DK,video,515,2008,08
33,GLOBEXCORPORATION,DK,article,758,2008,09
34,GLOBEXCORPORATION,DK,page,2,2008,09
35,GLOBEXCORPORATION,DK,video,559,2008,09
36,GLOBEXCORPORATION,DK,article,761,2008,10
37,GLOBEXCORPORATION,DK,page,2,2008,10
38,GLOBEXCORPORATION,DK,video,608,2008,10
39,GLOBEXCORPORATION,DK,article,740,2008,11
40,GLOBEXCORPORATION,DK,page,4,2008,11
41,GLOBEXCORPORATION,DK,video,553,2008,11
42,GLOBEXCORPORATION,DK,article,779,2008,12
43,GLOBEXCORPORATION,DK,page,1,2008,12
44,GLOBEXCORPORATION,DK,video,508,2008,12
45,GLOBEXCORPORATION,DK,article,687,2009,01
46,GLOBEXCORPORATION,DK,multimedia,76,2009,01
47,GLOBEXCORPORATION,DK,video,516,2009,01
48,GLOBEXCORPORATION,DK,article,670,2009,02
49,GLOBEXCORPORATION,DK,multimedia,61,2009,02
50,GLOBEXCORPORATION,DK,video,705,2009,02
51,GLOBEXCORPORATION,DK,article,747,2009,03
52,GLOBEXCORPORATION,DK,multimedia,70,2009,03
